539,PCdT,0
540,"CIZALDUONDO""GFFDEZVILLATE""",0
541,MPSM,0
542,ECOLO,0
543,PUEDE,0
544,APPO,0
545,ADIPA,0
546,IEV,0
547,MASS,0
548,BLOC-CMCOMPROMÍS,0
549,iBarrika,0
550,PVI,0
551,ASI,0
552,IF,0
553,APPC,0
554,LANDERRI,0
555,ASM,0
556,GIPaxal,0
557,UIPR,0
558,AETT,0
559,UIPV,0
560,CLI,0
561,XM,0
562,ACIM,0
563,CiudaLor,0
564,ANEMI,0
565,XD,0
566,AICAYÓN,0
567,CDAD,0
568,IVILLAMARTIN,0
569,UpVV,0
570,PDC,0
571,UPNS,0
572,ASH,0
573,PIC-COTES,0
574,AEUIOLMEDADECOBETA,0
575,AxA,0
576,AxSJ,0
577,PVM,0
578,CIO,0
579,UDU,0
580,AxCastro,0
581,PYLN,0
582,GICCALIPO-FA,0
583,BELAUNTZABERREGINEZ,0
584,IPdeR,0
585,NIVA,0
586,ACSSP,0
587,IxSP,0
588,ARAMAIOKOALKARTASUNA,0
589,DN,0
590,UNP,0
591,AINDPTEMAZUECOS,0
592,INDAR,0
593,AVC-F,0
594,ACCA,0
595,CcVva,0
596,IPV-VV,0
597,AAT,0
598,PPSO,0
599,AAV,0
600,RESTO,0
601,AELEF,0
602,COMFIR,0
603,GISVVA,0
604,UPCM,0
605,ADP,0
606,UPCH,0
607,PIBBUU,0
608,End-Ro,0
609,ALPA,0
610,AMIPORIBEAS,0
611,AGINPO,0
612,UCE,0
613,USIP,0
614,PIVG,0
615,UCB,0
616,CYD,0
617,PAPRONA,0
618,UCL,0
619,APGa,0
620,UPCP,0
621,GTI,0
622,INTA,0
623,UVY,0
624,AEMS,0
625,BUX,0
626,AEMV,0
627,UDJ,0
628,AJM,0
629,PCPB,0
630,AIZ/ZEI,0
631,En-Cerd,0
632,IAMP,0
633,INDEPENDENTSPERCONESA,0
634,CAMARENA,0
635,AIRE,0
636,AMVIT,0
637,JPA,0
638,AIPyU,0
639,Eb-CenB,0
640,CITS,0
641,PDM,0
642,ULIA,0
643,PROPOMO,0
644,PIRUM,0
645,DENOKBAT,0
646,GDUA,0
647,PDSP,0
648,JPS,0
649,AlternativAlovera,0
650,IxLV,0
651,CxSF,0
652,PFyV,0
653,PIDM,0
654,INTEO,0
655,eres,0
656,JV,0
657,CDeI,0
658,Gpc,0
659,NvG,0
